title,url,image_url,price,stars,review_count,sales_per_month,help_path
"HawkTec R4 2025 R4xMP SDHC Dual Core Update Adapter Memory Card for NDS DS DSI 2DS 3DS New 2DS New 3DS XL, No Timebomb","https://www.amazon.com/2023-Update-Adapter-Memory-Timebomb/dp/B0C8KXD15F","https://m.media-amazon.com/images/I/61qVhLiCbBL._AC_SL1500_.jpg","17.49","4.5","101","200+","/r4xmp"
"HawkTec Edition DSPico Flash Cart Compatible w/ NDS DS DSi 2DS 3DS (R4 Upgrade) – 8GB Micro SD Included","https://www.amazon.com/HawkTec-DSPico-Compatible-DS-Upgrade-Nintendo/dp/B0GQCL45W9","https://m.media-amazon.com/images/I/71h3eFPHJyL._AC_SL1500_.jpg","","","","","/dspico"
